Unnamed: 0,id,claim,evidence_doc_id,evidence_label,evidence_sentences,cited_doc_ids,causal_result_raw,is_medical_causal
7,12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,33409100,SUPPORT,[8],[33409100],Yes,TRUE
24,30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,24341590,SUPPORT,[10],[24341590],Yes,TRUE
29,34,A deficiency of folate increases blood levels of homocysteine.,11705328,SUPPORT,[4],[11705328],Yes,TRUE
32,39,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,13497630,SUPPORT,[7],[13497630],Yes,TRUE
42,41,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,18174210,SUPPORT,[1 9],[18174210],Yes,TRUE
45,44,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,56893404,SUPPORT,[3],[56893404],Yes,TRUE
47,46,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,380526,SUPPORT,[2],[380526],Yes,TRUE
48,47,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,26996935,SUPPORT,[6],[ 3512154 26996935],Yes,TRUE
49,52,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,45638119,SUPPORT,[4],[45638119],Yes,TRUE
50,55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,49556906,SUPPORT,[5],[49556906],Yes,TRUE
57,61,ART substantially reduces infectiveness of HIV-positive people.,13899137,SUPPORT,[5],[13899137 13901073],Yes,TRUE
64,67,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,21295300,SUPPORT,[3],[21295300],Yes,TRUE
66,68,Activated Cdk5 regulates DNA damage-induced neuronal death.,21295300,SUPPORT,[6],[21295300],Yes,TRUE
69,71,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,1127562,SUPPORT,[4 5],[1127562],Yes,TRUE
72,76,Active Ly49Q induces neutrophil polarization.,5531479,SUPPORT,[1],[5531479],Yes,TRUE
